Item Name,Part No,CPU Socket,Chipset,Manufacturer URL
ASUS PRIME X299-DELUXE II,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-X299-DELUXE-II/
ASUS PRIME A520M-K,,AM4,A520,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-A520M-K/
ASUS ROG STRIX B550-A GAMING,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b550-a-gaming-model/
ASUS PRIME H410M-A/CSM,,LGA 1200,H410,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/PRIME-H410M-A-CSM/
ASUS PRIME H470-PLUS/CSM,,LGA 1200,H470,https://www.asus.com/my/Motherboards-Components/Motherboards/Business/PRIME-H470-PLUS-CSM/
ASUS ROG STRIX B550-I GAMING,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b550-i-gaming-model/
ASUS TUF GAMING B550M-PLUS,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B550M-PLUS/
ASUS PRIME B550M-K,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B550M-K/
ASUS TUF GAMING H470-PRO (WI-FI),,LGA 1200,H470,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-H470-PRO-WI-FI/
ASUS PRIME B460M-K,,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B460M-K/
ASUS PRIME H410M-K,,LGA 1200,H410,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H410M-K/
ASUS TUF GAMING B460M-PLUS (WI-FI),,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B460M-PLUS-WI-FI/
ASUS PRIME B460M-A,,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B460M-A/
ASUS PRIME B550M-A,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B550M-A/
ASUS ROG STRIX B550-F GAMING (WI-FI),,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b550-f-gaming-wi-fi-model/
ASUS ROG STRIX B550-F GAMING,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b550-f-gaming-model/
ASUS TUF GAMING Z490-PLUS (WI-FI),,LGA 1200,Z490,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-Z490-PLUS-WI-FI/
ASUS ProArt Z490-CREATOR 10G,,LGA 1200,Z490,https://www.asus.com/my/Motherboards-Components/Motherboards/ProArt/ProArt-Z490-CREATOR-10G/
ASUS ROG STRIX H470-I GAMING,90MB12U0-M0UAY0,LGA 1200,H470,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-h470-i-gaming-model/
ASUS ROG STRIX B460-I GAMING,90MB13X0-M0UAY0,LGA 1200,B460,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b460-i-gaming-model/
